{'student': {'id': 1, 'demographics': {'gender': 'm', 'is_grad': 'y', 'field': 'business law'}}}
{'student': {'id': 2, 'demographics': {'gender': 'f', 'is_grad': 'y', 'field': 'STEM'}}}
{'student': {'id': 3, 'demographics': {'gender': 'm', 'is_grad': 'y', 'field': 'business law'}}}
{'student': {'id': 4, 'demographics': {'gender': 'f', 'is_grad': 'y', 'field': 'STEM'}}}
{'student': {'id': 5, 'demographics': {'gender': 'm', 'is_grad': 'y', 'field': 'STEM'}}}
{'student': {'id': 6, 'demographics': {'gender': 'f', 'is_grad': 'y', 'field': 'business law'}}}
{'student': {'id': 7, 'demographics': {'gender': 'm', 'is_grad': 'y', 'field': 'STEM'}}}
{'student': {'id': 8, 'demographics': {'gender': 'f', 'is_grad': 'y', 'field': 'STEM'}}}
{'student': {'id': 9, 'demographics': {'gender': 'm', 'is_grad': 'y', 'field': 'STEM'}}}
{'student': {'id': 10, 'demographics': {'gender': 'f', 'is_grad': 'y', 'field': 'business law'}}}
{'student': {'id': 11, 'demographics': {'gender': 'm', 'is_grad': 'y', 'field': 'STEM'}}}
{'student': {'id': 12, 'demographics': {'gender': 'f', 'is_grad': 'y', 'field': 'STEM'}}}
{'student': {'id': 13, 'demographics': {'gender': 'm', 'is_grad': 'y', 'field': 'STEM'}}}
{'student': {'id': 14, 'demographics': {'gender': 'f', 'is_grad': 'y', 'field': 'STEM'}}}
{'student': {'id': 15, 'demographics': {'gender': 'm', 'is_grad': 'y', 'field': 'hum arts design'}}}
{'student': {'id': 16, 'demographics': {'gender': 'f', 'is_grad': 'y', 'field': 'STEM'}}}
{'student': {'id': 17, 'demographics': {'gender': 'm', 'is_grad': 'y', 'field': 'multidisc mixed'}}}
{'student': {'id': 18, 'demographics': {'gender': 'f', 'is_grad': 'y', 'field': 'STEM'}}}
{'student': {'id': 19, 'demographics': {'gender': 'm', 'is_grad': 'y', 'field': 'business law'}}}
{'student': {'id': 20, 'demographics': {'gender': 'f', 'is_grad': 'y', 'field': 'STEM'}}}
{'student': {'id': 21, 'demographics': {'gender': 'm', 'is_grad': 'y', 'field': 'STEM'}}}
{'student': {'id': 22, 'demographics': {'gender': 'f', 'is_grad': 'y', 'field': 'undeclared'}}}
{'student': {'id': 23, 'demographics': {'gender': 'm', 'is_grad': 'y', 'field': 'undeclared'}}}
{'student': {'id': 24, 'demographics': {'gender': 'f', 'is_grad': 'y', 'field': 'undeclared'}}}
{'student': {'id': 25, 'demographics': {'gender': 'm', 'is_grad': 'y', 'field': 'undeclared'}}}
{'student': {'id': 26, 'demographics': {'gender': 'f', 'is_grad': 'y', 'field': 'undeclared'}}}
{'student': {'id': 27, 'demographics': {'gender': 'm', 'is_grad': 'y', 'field': 'undeclared'}}}
{'student': {'id': 28, 'demographics': {'gender': 'f', 'is_grad': 'y', 'field': 'undeclared'}}}
{'student': {'id': 29, 'demographics': {'gender': 'm', 'is_grad': 'y', 'field': 'undeclared'}}}
{'student': {'id': 30, 'demographics': {'gender': 'f', 'is_grad': 'y', 'field': 'undeclared'}}}
{'student': {'id': 31, 'demographics': {'gender': 'm', 'is_grad': 'y', 'field': 'undeclared'}}}
{'student': {'id': 32, 'demographics': {'gender': 'f', 'is_grad': 'y', 'field': 'undeclared'}}}
{'student': {'id': 33, 'demographics': {'gender': 'm', 'is_grad': 'y', 'field': 'social sciences'}}}
{'student': {'id': 34, 'demographics': {'gender': 'f', 'is_grad': 'y', 'field': 'undeclared'}}}
{'student': {'id': 35, 'demographics': {'gender': 'm', 'is_grad': 'y', 'field': 'STEM'}}}
{'student': {'id': 36, 'demographics': {'gender': 'f', 'is_grad': 'y', 'field': 'social sciences'}}}
{'student': {'id': 37, 'demographics': {'gender': 'm', 'is_grad': 'y', 'field': 'undeclared'}}}
{'student': {'id': 38, 'demographics': {'gender': 'f', 'is_grad': 'y', 'field': 'business law'}}}
{'student': {'id': 39, 'demographics': {'gender': 'm', 'is_grad': 'y', 'field': 'STEM'}}}
{'student': {'id': 40, 'demographics': {'gender': 'f', 'is_grad': 'y', 'field': 'STEM'}}}
{'student': {'id': 41, 'demographics': {'gender': 'm', 'is_grad': 'y', 'field': 'undeclared'}}}
{'student': {'id': 42, 'demographics': {'gender': 'f', 'is_grad': 'y', 'field': 'STEM'}}}
{'student': {'id': 43, 'demographics': {'gender': 'm', 'is_grad': 'y', 'field': 'business law'}}}
{'student': {'id': 44, 'demographics': {'gender': 'f', 'is_grad': 'y', 'field': 'business law'}}}
